n,p,time
480,3,0.143127
960,3,0.20968
1440,3,0.416445
1920,3,0.456353
2400,3,1.00293
2880,3,1.53095
3360,3,2.43712
3840,3,3.45845
4320,3,4.58337
4800,3,5.59852
480,5,0.0772591
960,5,0.108418
1440,5,0.256116
1920,5,0.480248
2400,5,0.861045
2880,5,1.80059
3360,5,2.52926
3840,5,3.1977
4320,5,4.39527
4800,5,5.49473
3360,7,2.60807
1440,9,0.253516
2880,9,1.74955
4320,9,4.58661
480,15,0.0108471
960,15,0.0744569
1440,15,0.230738
1920,15,0.502029
2400,15,0.98682
2880,15,1.67325
3360,15,2.58558
3840,15,3.74713
4320,15,5.35065
4800,15,7.20983
3360,21,2.12195
480,1,0.248637
960,1,0.205865
1440,1,0.349343
1920,1,0.750764
2400,1,1.14306
2880,1,1.13328
3360,1,2.4558
3840,1,3.59504
4320,1,5.06448
4800,1,5.61872
480,3,0.0923221
960,3,0.184052
1440,3,0.315329
1920,3,0.497371
2400,3,1.19351
2880,3,1.61813
3360,3,2.45005
3840,3,3.3911
480,2,0.157542
960,2,0.226956
1440,2,0.310631
1920,2,0.598312
2400,2,1.08527
2880,2,1.08532
3360,2,2.43097
3840,2,3.15964
4320,2,4.27627
4800,2,5.3458
480,4,0.0675809
960,4,0.183763
1440,4,0.355634
1920,4,0.649941
2400,4,0.808138
2880,4,1.19104
3360,4,2.41764
3840,4,3.2308
4320,4,3.73179
4800,4,5.68913
480,6,0.0321901
960,6,0.100889
1440,6,0.2507
1920,6,0.454909
2400,6,0.773221
2880,6,1.0362
3360,6,2.37734
3840,6,3.03849
4320,6,4.20196
4800,6,5.41852
480,8,0.01563
960,8,0.096776
1440,8,0.381966
1920,8,0.736751
2400,8,0.734173
2880,8,1.06626
3360,8,2.56622
3840,8,3.92054
4320,8,4.55828
4800,8,5.72125
480,10,0.024971
960,10,0.120323
1440,10,0.275355
1920,10,0.469617
2400,10,0.779263
2880,10,1.72294
3360,10,2.41322
3840,10,3.26225
4320,10,4.44986
4800,10,5.63271
480,12,0.0224049
960,12,0.0704339
1440,12,0.223219
1920,12,0.448465
2400,12,0.770891
2880,12,1.12101
3360,12,2.12094
3840,12,2.99265
4320,12,3.92722
4800,12,5.10862
3360,14,2.69491
480,16,0.010685
960,16,0.0718801
1440,16,0.220293
1920,16,0.502881
2400,16,0.939117
2880,16,1.58704
3360,16,2.45228
3840,16,3.64728
4320,16,5.06218
4800,16,6.83031
1440,18,0.209845
2880,18,1.48108
4320,18,4.65315
480,20,0.0105481
960,20,0.06776
1440,20,0.203293
1920,20,0.458094
2400,20,0.841611
2880,20,1.41029
3360,20,2.14426
3840,20,3.16592
4320,20,4.3436
4800,20,5.82351
480,24,0.0117338
960,24,0.0683529
1440,24,0.197097
1920,24,0.437893
2400,24,0.793648
2880,24,1.3065
3360,24,1.98267
3840,24,2.89937
4320,24,3.92953
4800,24,5.23015
