n,p,time
480,2,0.0243468
960,2,0.185466
1440,2,0.610569
1920,2,1.48017
2400,2,2.8854
2880,2,4.99742
3360,2,7.91909
3840,2,12.0025
4320,2,16.7916
4800,2,22.851
480,4,0.0142159
960,4,0.098002
1440,4,0.348794
1920,4,0.837669
2400,4,1.53997
2880,4,2.60953
3360,4,4.12979
3840,4,6.26331
4320,4,8.66627
4800,4,11.839
480,6,0.011312
960,6,0.07622
1440,6,0.254508
1920,6,0.60387
2400,6,1.14614
2880,6,1.94289
3360,6,3.05426
3840,6,4.60702
4320,6,6.53956
4800,6,8.82209
480,8,0.015142
960,8,0.0649428
1440,8,0.208766
1920,8,0.487435
2400,8,1.11139
2880,8,1.57747
3360,8,2.48275
3840,8,3.72828
4320,8,5.19418
4800,8,6.97943
480,10,0.00889707
960,10,0.0661571
1440,10,0.196487
1920,10,0.459279
2400,10,0.845601
2880,10,1.42193
3360,10,2.20642
3840,10,3.26552
4320,10,4.61301
4800,10,6.19377
480,12,0.006639
960,12,0.0546579
1440,12,0.168598
1920,12,0.399404
2400,12,0.732847
2880,12,1.24265
3360,12,1.89085
3840,12,2.8266
4320,12,3.90101
4800,12,5.28479
3360,14,2.71166
480,16,0.00978994
960,16,0.071106
1440,16,0.219746
1920,16,0.50306
2400,16,0.944618
2880,16,1.59004
3360,16,2.45788
3840,16,3.66347
4320,16,5.09019
4800,16,6.84595
1440,18,0.209006
2880,18,1.48738
4320,18,4.6759
480,20,0.00970793
960,20,0.0676451
1440,20,0.202811
1920,20,0.456851
2400,20,0.841627
2880,20,1.41309
3360,20,2.15254
3840,20,3.18081
4320,20,4.36293
4800,20,5.85309
480,24,0.01053
960,24,0.0678639
1440,24,0.196192
1920,24,0.436211
2400,24,0.792373
2880,24,1.30432
3360,24,2.01357
3840,24,2.92101
4320,24,3.9566
4800,24,5.2602
480,3,0.0174341
960,3,0.128174
1440,3,0.433297
1920,3,1.03442
2400,3,2.0157
2880,3,3.43487
3360,3,5.39685
3840,3,8.13241
4320,3,11.3364
4800,3,15.8352
480,5,0.01267
960,5,0.0875239
1440,5,0.30086
1920,5,0.696465
2400,5,1.34121
2880,5,2.30262
3360,5,3.62924
3840,5,5.48109
4320,5,7.72155
4800,5,10.4026
3360,7,2.75836
1440,9,0.21338
2880,9,1.56064
4320,9,5.04251
480,15,0.00993299
960,15,0.073746
1440,15,0.229557
1920,15,0.503268
2400,15,0.992564
2880,15,1.67418
3360,15,2.59665
3840,15,3.78462
4320,15,5.37589
4800,15,7.25879
3360,21,2.14196
480,1,0.0516071
960,1,0.363917
1440,1,1.20549
1920,1,2.93527
2400,1,5.7165
2880,1,10.022
3360,1,15.6942
3840,1,23.8265
4320,1,33.2439
4800,1,45.5187
480,3,0.017504
960,3,0.128025
1440,3,0.431098
1920,3,1.04235
2400,3,2.01296
2880,3,3.48417
3360,3,5.3578
480,1,0.0466051
960,1,0.363384
