n,p,time
500,2,0.0538239
1000,2,0.461679
1500,2,0.892599
2000,2,1.96174
2500,2,4.32445
3000,2,12.6615
3500,2,19.5972
4000,2,36.7752
4500,2,47.1792
5000,2,68.4283
500,4,0.0536189
1000,4,0.318046
1500,4,1.40129
2000,4,2.41877
2500,4,4.65488
3000,4,9.20754
3500,4,18.8059
4000,4,46.2524
4500,4,53.4687
5000,4,74.6386
1500,6,1.12449
3000,6,12.5732
4500,6,56.3212
1000,8,0.440773
2000,8,4.86861
3000,8,17.7456
4000,8,49.2639
5000,8,80.4388
500,10,0.0296719
1000,10,0.341375
1500,10,1.333
2000,10,4.41661
2500,10,5.67056
3000,10,13.2178
3500,10,18.2975
4000,10,48.3862
4500,10,58.3667
5000,10,96.5565
1500,12,1.1148
3000,12,11.5668
4500,12,59.0242
3500,14,49.7593
2000,16,6.99871
4000,16,75.0675
4500,18,82.0536
500,20,0.0424879
1000,20,0.563262
1500,20,2.20932
2000,20,5.76909
2500,20,11.686
3000,20,23.4822
3500,20,35.2547
4000,20,61.0443
4500,20,74.4419
5000,20,107.755
3000,24,20.1548
500,1,0.0792229
1000,1,0.41056
1500,1,1.259
2000,1,3.08327
2500,1,6.59684
3000,1,14.5594
3500,1,23.9678
4000,1,45.9298
4500,1,55.8547
5000,1,81.7819
1500,3,1.22491
1500,3,1.53449
3000,3,17.2605
4500,3,62.816
500,5,0.0472362
1000,5,0.215023
1500,5,1.14483
2000,5,2.51111
2500,5,5.79042
3000,5,17.1547
3500,5,21.1057
4000,5,48.8259
4500,5,59.4276
5000,5,77.682
3500,7,25.2885
4500,9,63.4556
1500,15,2.83489
3000,15,30.9962
4500,15,97.601
500,1,0.087378
1000,1,0.389725
1500,1,1.70624
2000,1,3.03713
2500,1,7.45104
3000,1,14.8893
3500,1,23.2263
4000,1,41.1215
4500,1,59.1832
5000,1,80.8569
