n,p,time
500,1,0.208869
1000,1,2.48278
1500,1,8.31678
2000,1,23.7286
2500,1,62.0682
3000,1,112.306
3500,1,192.519
4000,1,489.634
4500,1,600.265
5000,1,901.094
1500,3,4.2234
1500,3,4.69901
3000,3,43.4304
4500,3,222.134
500,5,0.055949
1000,5,0.639013
1500,5,3.38703
2000,5,8.22544
2500,5,15.0929
3000,5,27.3809
3500,5,45.2683
4000,5,115.267
4500,5,134.977
5000,5,202.693
3500,7,34.3791
4500,9,78.4773
1500,15,2.62313
3000,15,31.0818
4500,15,97.7695
500,1,0.253746
1000,1,3.02554
1500,1,10.1864
2000,1,26.9752
2500,1,70.0168
3000,1,126.257
3500,1,213.928
4000,1,538.301
4500,1,668.79
5000,1,992.146
500,2,0.105543
1000,2,1.24556
1500,2,4.22333
2000,2,12.2997
2500,2,30.9537
3000,2,56.4789
3500,2,96.6137
4000,2,244.845
4500,2,300.347
5000,2,451.333
500,4,0.0558619
1000,4,0.640779
1500,4,3.21751
2000,4,8.92043
2500,4,16.3197
3000,4,29.5718
3500,4,49.6635
4000,4,126.574
4500,4,153.531
5000,4,230.705
1500,6,2.75394
3000,6,22.19
4500,6,107.795
1000,8,0.452132
2000,8,5.26396
3000,8,17.9981
4000,8,71.4726
5000,8,124.371
500,10,0.0413642
1000,10,0.595265
1500,10,2.14641
2000,10,5.02284
2500,10,9.536
3000,10,17.2938
3500,10,26.7955
4000,10,61.6507
4500,10,70.9169
5000,10,108.403
1500,12,1.79472
3000,12,14.4389
4500,12,59.3489
3500,14,49.7812
2000,16,6.99407
4000,16,75.0864
4500,18,82.1501
500,20,0.0425861
1000,20,0.739014
1500,20,2.20691
2000,20,5.79076
2500,20,11.7257
3000,20,23.5507
3500,20,35.3252
4000,20,60.9496
4500,20,74.6653
5000,20,108.164
3000,24,20.2591
500,1,0.209288
1000,1,2.48263
1500,1,8.3212
2000,1,23.2538
2500,1,61.9326
3000,1,112.194
3500,1,192.001
4000,1,488.315
4500,1,599.738
5000,1,899.932
