Function,Module,CPU Time,CPU Time:Idle,CPU Time:Poor,CPU Time:Ok,CPU Time:Ideal,CPU Time:Over,Wait Time,Spin Time,Spin Time:Imbalance or Serial Spinning (OpenMP),Spin Time:Lock Contention (OpenMP),Spin Time:Communication (MPI),Spin Time:Other,Overhead Time,Overhead Time:Creation (OpenMP),Overhead Time:Scheduling (OpenMP),Overhead Time:Reduction (OpenMP),Overhead Time:Other,Thread Oversubscription
square,path.x,13.070000,0.040000,13.030000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_fork_barrier,libiomp5.so,0.050000,0.030000,0.020000,0.0,0.0,0.0,,0.050000,0.050000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__intel_ssse3_memcpy,path.x,0.040000,0.030000,0.010000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_join_call,libiomp5.so,0.030000,0.030000,0.0,0.0,0.0,0.0,,0.030000,0.030000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fletcher16,path.x,0.030000,0.010000,0.020000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_graph,path.x,0.030000,0.020000,0.010000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genrand,path.x,0.020000,0.020000,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infinitize,path.x,0.010000,0.0,0.010000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_get_global_thread_id_reg,libiomp5.so,,,,,,,0.000089,,,,,,,,,,,
printf,libc-2.12.so,,,,,,,0.000030,,,,,,,,,,,
